+--------------------+-----------+---------------+----------------+--------------+
|        Word        | Term Freq | Document Freq | Adjacency Freq | Keyword Freq |
|     exclusive      |     1     |       1       |       1        |      0       |
|       needs        |     3     |       3       |       3        |      0       |
|      driving       |     1     |       1       |       1        |      0       |
|      required      |     6     |       6       |       6        |      0       |
|      depends       |     2     |       2       |       2        |      0       |
|       these        |     37    |       28      |       28       |      0       |
|    applications    |     27    |       12      |       12       |      6       |
|     addresses      |     3     |       3       |       3        |      0       |
|     pronounced     |     1     |       1       |       1        |      0       |
|       lowest       |     1     |       1       |       1        |      0       |
|        term        |     5     |       5       |       5        |      0       |
|        have        |     80    |       45      |       45       |      0       |
|      because       |     19    |       15      |       15       |      0       |
|        here        |     6     |       6       |       6        |      0       |
|       which        |    149    |       92      |       92       |      0       |
|      solution      |     4     |       3       |       3        |      1       |
|     quadratic      |     2     |       1       |       1        |      1       |
|       called       |     40    |       35      |       35       |      0       |
|         to         |    1260   |      301      |      301       |      18      |
|      written       |     2     |       2       |       2        |      0       |
|      detailed      |     2     |       2       |       2        |      0       |
|       along        |     11    |       11      |       11       |      0       |
|        warm        |     1     |       1       |       1        |      1       |
|      handling      |     3     |       3       |       3        |      1       |
|      examples      |     1     |       1       |       1        |      0       |
|       using        |    258    |      147      |      147       |      0       |
|        both        |     31    |       21      |       21       |      0       |
|     presented      |     10    |       7       |       7        |      0       |
|      suitable      |     6     |       5       |       5        |      0       |
|     digresses      |     1     |       1       |       1        |      0       |
|      another       |     4     |       4       |       4        |      0       |
|       scheme       |     19    |       10      |       10       |      0       |
|      multiple      |     10    |       8       |       8        |      1       |
|       recall       |     1     |       1       |       1        |      0       |
|      neurons       |     6     |       3       |       3        |      3       |
|       encode       |     1     |       1       |       1        |      0       |
|        its         |     53    |       29      |       29       |      0       |
|      evolving      |     1     |       1       |       1        |      0       |
|        has         |     98    |       64      |       64       |      0       |
|       method       |     56    |       21      |       21       |      6       |
|   architectures    |     1     |       1       |       1        |      0       |
|       employ       |     1     |       1       |       1        |      0       |
|        more        |     33    |       21      |       21       |      0       |
|      running       |     5     |       2       |       2        |      2       |
|      robotics      |     1     |       1       |       1        |      0       |
|        many        |     20    |       17      |       17       |      0       |
|    scalability     |     4     |       3       |       3        |      3       |
|       stride       |     1     |       1       |       1        |      1       |
|       based        |    159    |       96      |       96       |      15      |
|        like        |     13    |       12      |       12       |      1       |
|    independent     |     5     |       4       |       4        |      0       |
|     effective      |     11    |       8       |       8        |      1       |
|        thus        |     12    |       12      |       12       |      0       |
|    engineering     |     4     |       2       |       2        |      1       |
|        from        |    115    |       66      |       66       |      0       |
|      locally       |     1     |       1       |       1        |      1       |
|      learning      |     10    |       3       |       3        |      7       |
|       about        |     13    |       9       |       9        |      0       |
|       during       |     29    |       18      |       18       |      0       |
|        pole        |     1     |       1       |       1        |      1       |
|      sticking      |     1     |       1       |       1        |      1       |
|        our         |     49    |       28      |       28       |      0       |
|      allowed       |     1     |       1       |       1        |      0       |
|       modern       |     5     |       5       |       5        |      0       |
|      decades       |     1     |       1       |       1        |      0       |
|    nevertheless    |     1     |       1       |       1        |      0       |
|       poses        |     2     |       2       |       2        |      0       |
|     polymeric      |     3     |       1       |       1        |      2       |
|    micromolding    |     2     |       1       |       1        |      2       |
|       weight       |     5     |       2       |       2        |      2       |
|        size        |     3     |       3       |       3        |      2       |
|     fabricate      |     1     |       1       |       1        |      0       |
|       metal        |     1     |       1       |       1        |      0       |
|      governed      |     1     |       1       |       1        |      0       |
|     histories      |     1     |       1       |       1        |      0       |
|      process       |     36    |       15      |       15       |      12      |
|      density       |     7     |       2       |       2        |      4       |
|        also        |     14    |       13      |       13       |      0       |
|       exists       |     2     |       2       |       2        |      0       |
|      achieve       |     5     |       5       |       5        |      0       |
|      maximum       |     1     |       1       |       1        |      2       |
|      harmless      |     2     |       1       |       1        |      1       |
|      without       |     23    |       18      |       18       |      0       |
|      assuming      |     2     |       2       |       2        |      0       |
|      lyapunov      |     1     |       1       |       1        |      1       |
|       delays       |     4     |       1       |       1        |      2       |
|       modes        |     1     |       1       |       1        |      1       |
|   supersampling    |     1     |       1       |       1        |      1       |
|     resolution     |     13    |       3       |       3        |      4       |
|       beyond       |     2     |       2       |       2        |      0       |
|     collected      |     1     |       1       |       1        |      0       |
|     techniques     |     24    |       13      |       13       |      5       |
|     associated     |     14    |       13      |       13       |      1       |
|       reduce       |     6     |       4       |       4        |      0       |
|       three        |     14    |       12      |       12       |      0       |
|       namely       |     8     |       8       |       8        |      0       |
|       camera       |     1     |       1       |       1        |      2       |
|        bad         |     4     |       1       |       1        |      1       |
|    responsible     |     1     |       1       |       1        |      0       |
|       simple       |     18    |       14      |       14       |      0       |
|     nonlinear      |     3     |       2       |       2        |      4       |
|     technique      |     15    |       11      |       11       |      3       |
|     depending      |     4     |       4       |       4        |      0       |
|        they        |     5     |       5       |       5        |      0       |
|      exhibit       |     3     |       2       |       2        |      0       |
|     naturally      |     2     |       2       |       2        |      0       |
|      pyramid       |     1     |       1       |       1        |      1       |
|        over        |     32    |       23      |       23       |      0       |
|       unique       |     2     |       2       |       2        |      0       |
|      through       |     26    |       24      |       24       |      0       |
|       after        |     14    |       11      |       11       |      0       |
|        any         |     16    |       12      |       12       |      0       |
|       among        |     23    |       19      |       19       |      0       |
|   classification   |     10    |       4       |       4        |      5       |
|       earth        |     1     |       1       |       1        |      1       |
|       images       |     2     |       1       |       1        |      1       |
|      existing      |     10    |       8       |       8        |      0       |
|    established     |     6     |       6       |       6        |      0       |
|      digital       |     10    |       2       |       2        |      5       |
|     selection      |     1     |       1       |       1        |      0       |
|      possible      |     4     |       4       |       4        |      0       |
|        etc         |     7     |       7       |       7        |      0       |
|     extracting     |     4     |       3       |       3        |      0       |
|      derived       |     10    |       5       |       5        |      0       |
|    distinguish     |     1     |       1       |       1        |      0       |
|     additional     |     6     |       5       |       5        |      0       |
|     california     |     4     |       2       |       2        |      0       |
|        may         |     23    |       23      |       23       |      0       |
|        were        |     73    |       31      |       31       |      0       |
|        was         |     98    |       36      |       36       |      0       |
|      optimum       |     2     |       2       |       2        |      1       |
|     increases      |     5     |       5       |       5        |      0       |
|        than        |     31    |       24      |       24       |      0       |
|       under        |     35    |       25      |       25       |      0       |
|      inserted      |     1     |       1       |       1        |      0       |
|        near        |     4     |       3       |       3        |      0       |
|      gapwise       |     1     |       1       |       1        |      1       |
|      retarded      |     1     |       1       |       1        |      0       |
|      results       |     17    |       12      |       12       |      0       |
|      between       |     59    |       35      |       35       |      0       |
|      datasets      |     1     |       1       |       1        |      1       |
|      storage       |     3     |       2       |       2        |      3       |
|        well        |     8     |       5       |       5        |      0       |
|      preserve      |     2     |       1       |       1        |      0       |
|       while        |     13    |       12      |       12       |      0       |
|     maximizing     |     2     |       1       |       1        |      0       |
|      lossless      |     1     |       1       |       1        |      1       |
|       ratios       |     3     |       1       |       1        |      1       |
|      maintain      |     2     |       2       |       2        |      0       |
|        but         |     27    |       20      |       20       |      0       |
|       small        |     6     |       5       |       5        |      1       |
|        uses        |     18    |       16      |       16       |      0       |
|     satellite      |     7     |       1       |       1        |      4       |
|      imaging       |     9     |       3       |       3        |      9       |
|    optimization    |     13    |       2       |       2        |      4       |
|     represent      |     1     |       1       |       1        |      0       |
|       allows       |     7     |       6       |       6        |      0       |
|        used        |     35    |       19      |       19       |      0       |
|       system       |     70    |       26      |       26       |      15      |
|        into        |     43    |       37      |       37       |      0       |
|        can         |    140    |       77      |       77       |      0       |
|        next        |     4     |       4       |       4        |      0       |
|        done        |     2     |       2       |       2        |      0       |
|     resulting      |     11    |       10      |       10       |      0       |
|   simultaneously   |     2     |       2       |       2        |      0       |
|     criterion      |     3     |       1       |       1        |      0       |
|       device       |     7     |       6       |       6        |      1       |
|       curve        |     3     |       2       |       2        |      1       |
|      actuated      |     3     |       1       |       1        |      0       |
|      accurate      |     14    |       7       |       7        |      3       |
|       rotary       |     1     |       1       |       1        |      0       |
|      includes      |     5     |       3       |       3        |      0       |
|       motion       |     3     |       2       |       2        |      1       |
|    experiments     |     10    |       8       |       8        |      1       |
|     simulation     |     13    |       8       |       8        |      6       |
|     different      |     41    |       29      |       29       |      0       |
|     situations     |     3     |       3       |       3        |      0       |
|      approach      |     31    |       19      |       19       |      3       |
|       design       |     30    |       8       |       8        |      7       |
|       gains        |     1     |       1       |       1        |      0       |
|     strategies     |     7     |       4       |       4        |      1       |
|      applied       |     13    |       11      |       11       |      0       |
|         no         |     5     |       4       |       4        |      0       |
|      involved      |     5     |       5       |       5        |      0       |
|      incoming      |     1     |       1       |       1        |      0       |
|      creating      |     5     |       3       |       3        |      0       |
|    eliminating     |     1     |       1       |       1        |      0       |
|     structural     |     5     |       4       |       4        |      3       |
|    transformer     |     1     |       1       |       1        |      1       |
|         at         |     93    |       52      |       52       |      0       |
|      enlarged      |     1     |       1       |       1        |      0       |
|       plants       |     4     |       1       |       1        |      1       |
|    methodology     |     4     |       4       |       4        |      0       |
|       domain       |     6     |       4       |       4        |      3       |
|     continuous     |     7     |       4       |       4        |      2       |
|     including      |     28    |       23      |       23       |      0       |
|      finally       |     6     |       6       |       6        |      0       |
|      studied       |     2     |       2       |       2        |      0       |
|        not         |     8     |       5       |       5        |      0       |
|        four        |     9     |       8       |       8        |      0       |
|     parameters     |     11    |       4       |       4        |      2       |
|       engine       |     2     |       2       |       2        |      1       |
|      calculus      |     1     |       1       |       1        |      1       |
|     redundant      |     2     |       1       |       1        |      1       |
|    manipulators    |     2     |       1       |       1        |      1       |
|      proposed      |     23    |       14      |       14       |      0       |
|       adopt        |     1     |       1       |       1        |      0       |
|   corresponding    |     5     |       4       |       4        |      0       |
|        show        |     10    |       8       |       8        |      0       |
|      compared      |     8     |       7       |       7        |      0       |
|        must        |     11    |       11      |       11       |      0       |
|       taking       |     3     |       3       |       3        |      0       |
|     fractional     |     3     |       1       |       1        |      2       |
|       model        |     28    |       12      |       12       |      7       |
|     impossible     |     1     |       1       |       1        |      0       |
|    implementing    |     6     |       4       |       4        |      0       |
|     continued      |     3     |       1       |       1        |      1       |
|        very        |     4     |       4       |       4        |      0       |
|    conventional    |     22    |       14      |       14       |      1       |
|        then        |     15    |       11      |       11       |      0       |
|     equivalent     |     2     |       2       |       2        |      0       |
|      function      |     10    |       4       |       4        |      6       |
|        due         |     5     |       5       |       5        |      0       |
|       theory       |     9     |       7       |       7        |      0       |
|      varying       |     4     |       4       |       4        |      1       |
|      previous      |     3     |       3       |       3        |      0       |
|       order        |     14    |       3       |       3        |      2       |
|     stability      |     3     |       3       |       3        |      1       |
|      control       |     30    |       7       |       7        |      14      |
|      response      |     11    |       3       |       3        |      4       |
|      methods       |     40    |       19      |       19       |      11      |
|      specify       |     1     |       1       |       1        |      0       |
|       common       |     8     |       4       |       4        |      1       |
|        each        |     20    |       13      |       13       |      0       |
|       valid        |     2     |       2       |       2        |      0       |
|     libraries      |     2     |       1       |       1        |      1       |
|       serves       |     2     |       2       |       2        |      0       |
|       define       |     6     |       3       |       3        |      0       |
|       entire       |     3     |       3       |       3        |      0       |
|      support       |     9     |       6       |       6        |      0       |
|    dimensional     |     13    |       8       |       8        |      2       |
|      standard      |     18    |       9       |       9        |      1       |
|       higher       |     8     |       8       |       8        |      2       |
|      inliner       |     3     |       1       |       1        |      1       |
|       build        |     1     |       1       |       1        |      0       |
|    efficiently     |     2     |       2       |       2        |      0       |
|        good        |     8     |       7       |       7        |      0       |
|     simulating     |     4     |       2       |       2        |      0       |
|     dependent      |     10    |       3       |       3        |      4       |
|      haskell       |     2     |       1       |       1        |      1       |
|      reflect       |     1     |       1       |       1        |      0       |
|        type        |     16    |       6       |       6        |      9       |
|        give        |     6     |       5       |       5        |      0       |
|       making       |     5     |       5       |       5        |      1       |
|       server       |     6     |       2       |       2        |      3       |
|     particular     |     8     |       6       |       6        |      0       |
|       place        |     1     |       1       |       1        |      0       |
|        high        |     9     |       6       |       6        |      4       |
|    concurrency     |     1     |       1       |       1        |      1       |
|       could        |     7     |       6       |       6        |      0       |
|        few         |     1     |       1       |       1        |      0       |
|      improved      |     11    |       8       |       8        |      0       |
|        kind        |     1     |       1       |       1        |      1       |
|    overloading     |     3     |       1       |       1        |      1       |
|     ambiguous      |     1     |       1       |       1        |      0       |
|      reynolds      |     1     |       1       |       1        |      0       |
|     featuring      |     2     |       2       |       2        |      0       |
|     translated     |     2     |       1       |       1        |      0       |
|        when        |     37    |       29      |       29       |      0       |
|    compromises     |     1     |       1       |       1        |      0       |
|       across       |     6     |       6       |       6        |      0       |
|       rather       |     6     |       6       |       6        |      0       |
|      typical       |     8     |       8       |       8        |      0       |
|    participants    |     4     |       1       |       1        |      0       |
|       other        |     23    |       20      |       20       |      0       |
|      requires      |     7     |       6       |       6        |      0       |
|       their        |     40    |       25      |       25       |      0       |
|      regular       |     1     |       1       |       1        |      1       |
|        who         |     7     |       7       |       7        |      0       |
|        make        |     9     |       9       |       9        |      0       |
|       often        |     3     |       2       |       2        |      0       |
|         if         |     13    |       11      |       11       |      0       |
|       since        |     7     |       7       |       7        |      0       |
|     involving      |     2     |       2       |       2        |      0       |
|       legal        |     1     |       1       |       1        |      1       |
|     procedures     |     4     |       4       |       4        |      1       |
|     concerning     |     3     |       3       |       3        |      0       |
|        two         |     42    |       26      |       26       |      1       |
|     disappears     |     2     |       1       |       1        |      0       |
|     unreported     |     2     |       1       |       1        |      0       |
|      classic       |     1     |       1       |       1        |      0       |
|       people       |     4     |       1       |       1        |      0       |
|      minimal       |     1     |       1       |       1        |      0       |
|      findings      |     7     |       2       |       2        |      1       |
|     sufficient     |     2     |       2       |       2        |      0       |
|     mustering      |     2     |       1       |       1        |      1       |
|        how         |     29    |       17      |       17       |      0       |
|     influence      |     3     |       1       |       1        |      0       |
|      decision      |     11    |       2       |       2        |      9       |
|    realization     |     3     |       1       |       1        |      1       |
|        tend        |     1     |       1       |       1        |      0       |
|     decisions      |     6     |       3       |       3        |      1       |
|       study        |     11    |       11      |       11       |      1       |
|   investigating    |     3     |       3       |       3        |      0       |
|       having       |     3     |       3       |       3        |      0       |
|   significantly    |     6     |       5       |       5        |      0       |
|       future       |     6     |       5       |       5        |      0       |
|     subspaces      |     2     |       1       |       1        |      2       |
|       prior        |     6     |       6       |       6        |      0       |
|   preprocessing    |     2     |       2       |       2        |      1       |
|    investigate     |     1     |       1       |       1        |      0       |
|       noisy        |     6     |       2       |       2        |      4       |
|      average       |     4     |       2       |       2        |      1       |
|       decays       |     2     |       2       |       2        |      0       |
|       single       |     12    |       7       |       7        |      6       |
|      disturb       |     2     |       1       |       1        |      0       |
|      consider      |     4     |       4       |       4        |      0       |
|      relevant      |     1     |       1       |       1        |      0       |
|        work        |     2     |       2       |       2        |      0       |
|       qubits       |     1     |       1       |       1        |      1       |
|        bits        |     1     |       1       |       1        |      1       |
|       value        |     1     |       1       |       1        |      0       |
|   exponentially    |     1     |       1       |       1        |      0       |
|   asymptotically   |     1     |       1       |       1        |      0       |
|       search       |     9     |       4       |       4        |      3       |
|      selected      |     2     |       2       |       2        |      0       |
|       larger       |     2     |       2       |       2        |      0       |
|        task        |     4     |       4       |       4        |      2       |
|      several       |     21    |       17      |       17       |      0       |
|      yielding      |     1     |       1       |       1        |      0       |
|    postselected    |     1     |       1       |       1        |      3       |
|     operation      |     2     |       2       |       2        |      2       |
|     conserving     |     1     |       1       |       1        |      1       |
|      produce       |     5     |       4       |       4        |      0       |
|      induces       |     1     |       1       |       1        |      0       |
|         g          |     9     |       2       |       2        |      0       |
|       strong       |     3     |       3       |       3        |      1       |
|       regime       |     4     |       4       |       4        |      4       |
|       kappa        |     3     |       1       |       1        |      0       |
|       cavity       |     7     |       2       |       2        |      5       |
|      strength      |     1     |       1       |       1        |      1       |
|     processing     |     3     |       2       |       2        |      2       |
|      strongly      |     2     |       2       |       2        |      0       |
|     unitaries      |     2     |       1       |       1        |      1       |
|     arbitrary      |     3     |       3       |       3        |      0       |
|      desired       |     3     |       2       |       2        |      0       |
|    communicate     |     2     |       1       |       1        |      0       |
|      parties       |     3     |       1       |       1        |      0       |
|    eigenstates     |     1     |       1       |       1        |      1       |
|      retrieve      |     1     |       1       |       1        |      0       |
|    calculations    |     6     |       2       |       2        |      1       |
|        only        |     15    |       10      |       10       |      0       |
|    demonstrate     |     3     |       3       |       3        |      0       |
|     synthesize     |     1     |       1       |       1        |      0       |
|       field        |     3     |       3       |       3        |      1       |
|      quantum       |     9     |       2       |       2        |      6       |
|      systems       |     57    |       23      |       23       |      21      |
|      involves      |     2     |       2       |       2        |      0       |
|      various       |     16    |       12      |       12       |      0       |
|       given        |     18    |       14      |       14       |      0       |
|       recent       |     5     |       5       |       5        |      0       |
|      purpose       |     4     |       4       |       4        |      0       |
|       should       |     8     |       7       |       7        |      0       |
|    calculating     |     1     |       1       |       1        |      0       |
|    preparation     |     2     |       1       |       1        |      2       |
|     inhibiting     |     2     |       1       |       1        |      0       |
|        via         |     17    |       14      |       14       |      0       |
|      general       |     10    |       8       |       8        |      1       |
|      employed      |     2     |       2       |       2        |      0       |
|    decoherence     |     2     |       1       |       1        |      1       |
|       before       |     2     |       2       |       2        |      0       |
|        use         |     21    |       17      |       17       |      1       |
|        even        |     7     |       7       |       7        |      0       |
|      swapping      |     2     |       2       |       2        |      1       |
|     discovered     |     2     |       2       |       2        |      0       |
|      protocol      |     7     |       5       |       5        |      7       |
|      apparent      |     1     |       1       |       1        |      0       |
|      suppose       |     1     |       1       |       1        |      0       |
|         c          |     13    |       4       |       4        |      0       |
|    appropriate     |     4     |       4       |       4        |      0       |
|       fully        |     7     |       5       |       5        |      0       |
|  straightforward   |     2     |       2       |       2        |      0       |
|    demonstrated    |     2     |       2       |       2        |      0       |
|     discusses      |     5     |       5       |       5        |      0       |
|     increased      |     5     |       4       |       4        |      0       |
|     describes      |     2     |       2       |       2        |      0       |
|      consists      |     10    |       9       |       9        |      0       |
|     exploiting     |     2     |       2       |       2        |      0       |
|      channel       |     8     |       3       |       3        |      3       |
|      harmful       |     1     |       1       |       1        |      0       |
|      sources       |     8     |       4       |       4        |      3       |
|     components     |     2     |       2       |       2        |      0       |
|         u          |     3     |       1       |       1        |      0       |
|      setting       |     1     |       1       |       1        |      0       |
|        bvps        |     5     |       1       |       1        |      0       |
|      boundary      |     2     |       1       |       1        |      2       |
|        bvms        |     3     |       1       |       1        |      1       |
|    formulation     |     1     |       1       |       1        |      0       |
|        anew        |     1     |       1       |       1        |      0       |
|     precisely      |     1     |       1       |       1        |      0       |
|         so         |     7     |       6       |       6        |      0       |
|      moreover      |     7     |       6       |       6        |      0       |
|     numerical      |     11    |       4       |       4        |      5       |
|      indices       |     1     |       1       |       1        |      1       |
|     especially     |     5     |       5       |       5        |      0       |
|       known        |     13    |       12      |       12       |      0       |
|      coupled       |     1     |       1       |       1        |      0       |
|      towards       |     5     |       4       |       4        |      0       |
|        some        |     22    |       19      |       19       |      0       |
|      include       |     13    |       11      |       11       |      0       |
|    construction    |     1     |       1       |       1        |      0       |
|       choice       |     1     |       1       |       1        |      0       |
|     consistent     |     1     |       1       |       1        |      0       |
|     asymptotic     |     1     |       1       |       1        |      1       |
|     optimized      |     1     |       1       |       1        |      0       |
|     discussed      |     4     |       3       |       3        |      0       |
|     consequent     |     1     |       1       |       1        |      0       |
|      damping       |     5     |       2       |       2        |      2       |
|        acs         |     7     |       1       |       1        |      0       |
|   transportation   |     8     |       1       |       1        |      2       |
|     generates      |     2     |       2       |       2        |      0       |
|       cause        |     1     |       1       |       1        |      0       |
|        most        |     10    |       7       |       7        |      0       |
|       causes       |     2     |       1       |       1        |      0       |
|        seem        |     2     |       2       |       2        |      0       |
|     violating      |     1     |       1       |       1        |      0       |
|      provides      |     16    |       13      |       13       |      0       |
|    accelerated     |     1     |       1       |       1        |      1       |
|     structures     |     3     |       2       |       2        |      1       |
|       demand       |     5     |       5       |       5        |      4       |
|        all         |     23    |       17      |       17       |      0       |
|     considers      |     3     |       3       |       3        |      0       |
|     evaluating     |     3     |       3       |       3        |      0       |
|      combine       |     1     |       1       |       1        |      0       |
|      designed      |     3     |       3       |       3        |      0       |
|     excellent      |     3     |       3       |       3        |      0       |
|       length       |     2     |       1       |       1        |      0       |
|        self        |     2     |       1       |       1        |      1       |
|      welding       |     9     |       2       |       2        |      4       |
|        arc         |     7     |       1       |       1        |      3       |
|       webcad       |     4     |       1       |       1        |      1       |
|    constrained     |     1     |       1       |       1        |      0       |
|        axis        |     1     |       1       |       1        |      1       |
|      machine       |     1     |       1       |       1        |      1       |
|      certain       |     7     |       7       |       7        |      0       |
|     determine      |     5     |       3       |       3        |      0       |
|    information     |     32    |       9       |       9        |      13      |
|       assets       |     10    |       2       |       2        |      10      |
|      research      |     20    |       8       |       8        |      4       |
|   participation    |     6     |       3       |       3        |      2       |
|        new         |     91    |       47      |       47       |      0       |
|     detection      |     6     |       2       |       2        |      4       |
|        six         |     2     |       2       |       2        |      0       |
|      identify      |     3     |       3       |       3        |      0       |
|       handle       |     2     |       2       |       2        |      0       |
|      minimum       |     3     |       3       |       3        |      1       |
|        hull        |     2     |       1       |       1        |      2       |
|      visible       |     3     |       2       |       2        |      2       |
|      enables       |     5     |       5       |       5        |      0       |
|       above        |     1     |       1       |       1        |      0       |
|     prescribed     |     1     |       1       |       1        |      0       |
|      reflects      |     1     |       1       |       1        |      0       |
|        key         |     3     |       1       |       1        |      1       |
|      imposed       |     3     |       3       |       3        |      0       |
|     completely     |     1     |       1       |       1        |      0       |
|      reusable      |     4     |       2       |       2        |      2       |
|      enabling      |     4     |       3       |       3        |      0       |
|   implementation   |     5     |       4       |       4        |      1       |
|      operates      |     2     |       2       |       2        |      0       |
|      modules       |     1     |       1       |       1        |      0       |
|     specified      |     2     |       2       |       2        |      0       |
|       online       |     5     |       4       |       4        |      3       |
|     monitoring     |     3     |       1       |       1        |      1       |
|         us         |     3     |       3       |       3        |      0       |
|       plant        |     9     |       3       |       3        |      2       |
|      swedish       |     1     |       1       |       1        |      0       |
|      factors       |     2     |       1       |       1        |      1       |
|      computer      |     15    |       8       |       8        |      7       |
|       areas        |     3     |       2       |       2        |      0       |
|       halden       |     4     |       1       |       1        |      1       |
|     laboratory     |     1     |       1       |       1        |      0       |
|     geometric      |     2     |       1       |       1        |      1       |
|     metrology      |     4     |       1       |       1        |      1       |
|     knowledge      |     21    |       5       |       5        |      9       |
|     hydrating      |     2     |       1       |       1        |      1       |
|      example       |     4     |       3       |       3        |      0       |
|      improve       |     5     |       4       |       4        |      0       |
|       active       |     6     |       3       |       3        |      3       |
|    modification    |     2     |       1       |       1        |      0       |
|      adaptive      |     3     |       2       |       2        |      2       |
|     controller     |     5     |       2       |       2        |      1       |
|     realistic      |     6     |       5       |       5        |      0       |
|       quick        |     2     |       2       |       2        |      0       |
